1;art;art-sicrets.html;Почему так сложно посмотреть в глаза З„авидуИ и другие секреты известных произведений искусства
2;history;maps-sicrets.html;Как картографы древности защищали своЮ авторское право: ЗЏасхалкиИ на древних картах
3;literature;words-made-by-writters.html;Слова, придуманные русскими писателЯми
4;history;facts-about-russia.html;Удивительные факты из истории России, которые многим неизвестны
5*;;;
6*;;;
7;art;break-stereotypes-about-classical-artists.html;Айвазовский – это не только море, а Левитан – не только пейзажи: Разрушаем стереотипы о творчестве художников-классиков
8*;art;;Современные картины, за которые борются покупатели аукционов «Сотбис» и «Кристис»: В чём уникальность полотен Андрея Захарова
9*;art;;Как не запутаться в художественном наследии династии Маковских даже дилетанту
10*;literature;;Что предсказывали советские антиутопии
